name,host_star,ltr,disc_year,orb_period_ed,radius_e,temp_f,circumference_k,mass_e,density_e,temp_c,habit_code,solar_flux,circumference_m,disc_facility,disc_method
Kepler-621 b,Kepler-621,b,2016,2.63,2.3,1384.0,"92,069",5.9,0.4828,949.0,0,69.56,"57,213",Kepler,Transit
Kepler-622 b,Kepler-622,b,2016,14.28,2.13,860.0,"85,264",5.2,0.5354,658.0,0,12.49,"52,984",Kepler,Transit
Kepler-623 b,Kepler-623,b,2016,9.07,3.01,1543.0,"120,491",9.3,0.3412,1037.0,0,77.1,"74,874",Kepler,Transit
Kepler-624 b,Kepler-624,b,2016,14.59,2.31,1591.0,"92,470",6.0,0.4809,1064.0,0,130.76,"57,462",Kepler,Transit
Kepler-625 b,Kepler-625,b,2016,7.75,1.99,1591.0,"79,660",4.6,0.5844,1064.0,0,407.83,"49,502",Kepler,Transit
Kepler-625 c,Kepler-625,c,2016,4.17,1.05,1944.0,"42,032",1.2,1.0,1260.0,0,932.13,"26,119",Kepler,Transit
Kepler-626 b,Kepler-626,b,2016,14.49,2.29,1469.0,"91,669",5.9,0.4864,996.0,0,69.8,"56,964",Kepler,Transit
Kepler-627 b,Kepler-627,b,2016,40.7,3.73,1291.0,"149,313",13.4,0.2577,897.0,0,39.3,"92,784",Kepler,Transit
Kepler-628 b,Kepler-628,b,2016,15.46,8.4,1625.0,"336,253",53.2,0.0895,1083.0,0,262.6,"208,951",Kepler,Transit
Kepler-629 b,Kepler-629,b,2016,7.24,1.38,1526.0,"55,242",2.5,0.9419,1028.0,0,103.15,"34,328",Kepler,Transit
Kepler-63 b,Kepler-63,b,2013,9.43,6.11,1481.0,"244,584",120.0,0.5445,1003.0,0,100.37,"151,987",Kepler,Transit
Kepler-630 b,Kepler-630,b,2016,161.47,3.18,675.0,"127,296",10.2,0.3158,555.0,0,5.57,"79,103",Kepler,Transit
Kepler-631 b,Kepler-631,b,2016,17.98,2.9,1548.0,"116,088",8.8,0.3575,1040.0,0,94.14,"72,138",Kepler,Transit
Kepler-632 b,Kepler-632,b,2016,31.0,2.21,958.0,"88,467",5.5,0.51,712.0,0,14.72,"54,974",Kepler,Transit
Kepler-633 b,Kepler-633,b,2016,8.5,1.63,1895.0,"65,249",3.3,0.7568,1233.0,0,257.22,"40,546",Kepler,Transit
Kepler-634 b,Kepler-634,b,2016,5.17,1.89,2414.0,"75,657",4.2,0.6243,1521.0,0,808.84,"47,014",Kepler,Transit
Kepler-635 b,Kepler-635,b,2016,23.45,2.64,1501.0,"105,680",7.5,0.4047,1014.0,0,193.93,"65,670",Kepler,Transit
Kepler-636 b,Kepler-636,b,2016,16.08,4.45,1163.0,"178,134",18.1,0.2051,826.0,0,67.51,"110,694",Kepler,Transit
Kepler-637 b,Kepler-637,b,2016,23.21,4.75,1861.0,"190,143",20.2,0.1887,1214.0,0,63.8,"118,157",Kepler,Transit
Kepler-638 b,Kepler-638,b,2016,6.08,1.83,2057.0,"73,255",4.0,0.6534,1323.0,0,872.57,"45,521",Kepler,Transit
Kepler-639 b,Kepler-639,b,2016,10.21,2.38,1780.0,"95,272",6.3,0.4628,1169.0,0,295.83,"59,203",Kepler,Transit
Kepler-640 b,Kepler-640,b,2016,22.25,2.56,1154.0,"102,477",7.1,0.4211,821.0,0,35.06,"63,680",Kepler,Transit
Kepler-641 b,Kepler-641,b,2016,9.49,1.85,1724.0,"74,056",4.1,0.6425,1138.0,0,311.79,"46,019",Kepler,Transit
Kepler-642 b,Kepler-642,b,2016,4.42,2.9,3316.0,"116,088",8.8,0.3575,2022.0,0,719.37,"72,138",Kepler,Transit
Kepler-643 b,Kepler-643,b,2016,16.34,10.16,1791.0,"406,707",321.0,0.3049,1175.0,0,211.71,"252,731",Kepler,Transit
Kepler-644 b,Kepler-644,b,2016,3.17,3.15,3037.0,"126,095",10.1,0.323,1867.0,0,2381.77,"78,357",Kepler,Transit
Kepler-645 b,Kepler-645,b,2016,3.28,2.1,3172.0,"84,063",5.1,0.5445,1942.0,0,1364.76,"52,238",Kepler,Transit
Kepler-646 b,Kepler-646,b,2016,15.87,1.99,1195.0,"79,660",4.6,0.5844,844.0,0,38.23,"49,502",Kepler,Transit
Kepler-647 b,Kepler-647,b,2016,16.23,1.17,1476.0,"46,835",1.7,1.0653,1000.0,0,162.79,"29,104",Kepler,Transit
Kepler-647 c,Kepler-647,c,2020,29.67,4.001,,"160,161",15.1,0.2359,,0,,"99,525",Kepler,Transit
Kepler-648 b,Kepler-648,b,2016,17.42,3.22,1271.0,"128,897",10.5,0.314,886.0,0,47.34,"80,098",Kepler,Transit
Kepler-649 b,Kepler-649,b,2016,29.91,2.26,1073.0,"90,468",5.7,0.4955,776.0,0,25.15,"56,218",Kepler,Transit
Kepler-65 b,Kepler-65,b,2012,2.15,1.42,3190.0,"56,843",2.4,0.7985,1952.0,0,2316.09,"35,323",Kepler,Transit
Kepler-65 c,Kepler-65,c,2012,5.86,2.58,2300.0,"103,278",5.4,0.2976,1458.0,0,609.99,"64,178",Kepler,Transit
Kepler-65 d,Kepler-65,d,2012,8.13,1.52,2068.0,"60,846",4.1,1.0345,1329.0,0,394.55,"37,810",Kepler,Transit
Kepler-65 e,Kepler-65,e,2019,258.8,13.9,,"556,419",260.0,0.0966,,0,,"345,764",W. M. Keck Observatory,Radial Velocity
Kepler-650 b,Kepler-650,b,2016,3.03,2.96,2770.0,"118,489",9.1,0.3485,1719.0,0,1218.88,"73,630",Kepler,Transit
Kepler-651 b,Kepler-651,b,2016,21.39,2.37,1091.0,"94,872",6.2,0.4646,786.0,0,27.22,"58,954",Kepler,Transit
Kepler-652 b,Kepler-652,b,2016,4.18,2.49,1811.0,"99,675",6.8,0.4374,1186.0,0,211.88,"61,939",Kepler,Transit
Kepler-653 b,Kepler-653,b,2016,14.71,1.95,1532.0,"78,059",4.5,0.6007,1031.0,0,90.38,"48,507",Kepler,Transit
Kepler-653 c,Kepler-653,c,2016,0.9,0.78,3798.0,"31,224",0.4,0.8385,2290.0,0,3743.28,"19,403",Kepler,Transit
Kepler-654 b,Kepler-654,b,2016,13.72,2.07,1553.0,"82,862",4.9,0.5554,1043.0,0,229.31,"51,492",Kepler,Transit
Kepler-655 b,Kepler-655,b,2016,46.41,2.71,1116.0,"108,482",7.8,0.3902,800.0,0,28.77,"67,412",Kepler,Transit
Kepler-656 b,Kepler-656,b,2016,1.26,3.12,2882.0,"124,894",9.9,0.3249,1781.0,0,924.37,"77,610",Kepler,Transit
Kepler-657 b,Kepler-657,b,2016,24.54,3.52,1166.0,"140,906",12.2,0.2795,828.0,0,34.07,"87,560",Kepler,Transit
Kepler-658 b,Kepler-658,b,2016,1.29,1.63,1625.0,"65,249",3.3,0.7568,1083.0,0,223.75,"40,546",Kepler,Transit
Kepler-659 b,Kepler-659,b,2016,17.67,2.5,981.0,"100,075",6.8,0.4338,725.0,0,21.31,"62,188",Kepler,Transit
Kepler-66 b,Kepler-66,b,2013,17.82,2.8,1316.0,"112,084",8.2,0.3757,911.0,0,62.84,"69,650",Kepler,Transit
Kepler-660 b,Kepler-660,b,2016,9.27,2.57,1226.0,"102,878",7.1,0.4192,861.0,0,44.09,"63,929",Kepler,Transit
Kepler-661 b,Kepler-661,b,2016,6.03,3.07,1278.0,"122,893",9.6,0.3321,890.0,0,45.53,"76,367",Kepler,Transit
Kepler-662 b,Kepler-662,b,2016,21.68,2.18,1012.0,"87,266",5.4,0.5191,742.0,0,23.82,"54,228",Kepler,Transit
Kepler-663 b,Kepler-663,b,2016,5.0,2.6,1708.0,"104,078",7.3,0.412,1129.0,0,167.98,"64,675",Kepler,Transit
Kepler-664 b,Kepler-664,b,2016,2.53,2.66,2588.0,"106,480",7.6,0.4011,1618.0,0,652.43,"66,168",Kepler,Transit
Kepler-665 b,Kepler-665,b,2016,16.01,2.6,1125.0,"104,078",7.3,0.412,805.0,0,20.72,"64,675",Kepler,Transit
Kepler-666 b,Kepler-666,b,2016,4.5,2.4,2097.0,"96,072",6.4,0.4574,1345.0,0,575.64,"59,700",Kepler,Transit
Kepler-667 b,Kepler-667,b,2016,41.44,4.73,986.0,"189,343",20.1,0.1887,728.0,0,71.82,"117,659",Kepler,Transit
Kepler-668 b,Kepler-668,b,2016,8.35,2.7,1480.0,"108,081",7.8,0.392,1002.0,0,77.62,"67,163",Kepler,Transit
Kepler-669 b,Kepler-669,b,2016,4.13,4.83,2295.0,"193,346",20.8,0.1833,1455.0,0,826.76,"120,147",Kepler,Transit
Kepler-67 b,Kepler-67,b,2013,15.73,2.94,1141.0,"117,689",9.0,0.3521,814.0,0,34.2,"73,133",Kepler,Transit
Kepler-670 b,Kepler-670,b,2016,2.82,13.18,2252.0,"527,598",,,1431.0,0,528.22,"327,854",Kepler,Transit
Kepler-671 b,Kepler-671,b,2016,4.28,2.69,1879.0,"107,681",7.7,0.3938,1224.0,0,331.44,"66,914",Kepler,Transit
Kepler-672 b,Kepler-672,b,2016,38.38,2.5,1010.0,"100,075",6.8,0.4338,741.0,0,16.36,"62,188",Kepler,Transit
Kepler-673 b,Kepler-673,b,2016,3.73,6.54,1899.0,"261,797",34.8,0.1241,1235.0,0,253.46,"162,683",Kepler,Transit
Kepler-674 b,Kepler-674,b,2016,2.24,1.69,1537.0,"67,651",3.5,0.7223,1034.0,0,146.51,"42,039",Kepler,Transit
Kepler-675 b,Kepler-675,b,2016,2.34,2.44,1984.0,"97,674",6.5,0.4483,1282.0,0,308.55,"60,695",Kepler,Transit
Kepler-676 b,Kepler-676,b,2016,11.6,3.04,770.0,"121,692",9.5,0.3358,608.0,0,8.24,"75,620",Kepler,Transit
Kepler-677 b,Kepler-677,b,2016,6.58,5.38,1885.0,"215,362",25.0,0.1601,1227.0,0,683.27,"133,828",Kepler,Transit
Kepler-678 b,Kepler-678,b,2016,7.28,5.14,1557.0,"205,755",23.1,0.1697,1045.0,0,113.64,"127,858",Kepler,Transit
Kepler-679 b,Kepler-679,b,2016,12.39,3.01,1276.0,"120,491",9.3,0.3412,889.0,0,56.0,"74,874",Kepler,Transit
Kepler-68 b,Kepler-68,b,2013,5.4,2.354,2362.0,"94,231",7.6,0.4719,1492.0,0,439.92,"58,556",Kepler,Transit
Kepler-68 c,Kepler-68,c,2013,9.61,0.92,1751.0,"36,828",2.0,5.0817,1153.0,0,204.48,"22,885",Kepler,Transit
Kepler-68 d,Kepler-68,d,2013,634.6,13.9,,"556,419",267.0,0.0991,,0,,"345,764",W. M. Keck Observatory,Radial Velocity
Kepler-680 b,Kepler-680,b,2016,3.69,2.42,2122.0,"96,873",6.4,0.4537,1359.0,0,706.62,"60,198",Kepler,Transit
Kepler-681 b,Kepler-681,b,2016,26.39,3.08,938.0,"123,293",9.7,0.3303,701.0,0,14.15,"76,615",Kepler,Transit
Kepler-682 b,Kepler-682,b,2016,12.61,7.37,1413.0,"295,022",42.6,0.1062,965.0,0,306.1,"183,330",Kepler,Transit
Kepler-683 b,Kepler-683,b,2016,2.54,1.97,2455.0,"78,859",4.5,0.5917,1544.0,0,702.28,"49,004",Kepler,Transit
Kepler-684 b,Kepler-684,b,2016,6.77,3.36,1519.0,"134,501",11.2,0.294,1024.0,0,102.87,"83,580",Kepler,Transit
Kepler-685 b,Kepler-685,b,2016,1.63,10.58,2900.0,"423,519",78.8,0.0664,1791.0,0,1137.12,"263,179",Kepler,Transit
Kepler-686 b,Kepler-686,b,2016,1.59,12.15,2828.0,"486,367",,,1751.0,0,2132.9,"302,233",Kepler,Transit
Kepler-687 b,Kepler-687,b,2016,20.51,3.52,990.0,"140,906",12.2,0.2795,730.0,0,15.65,"87,560",Kepler,Transit
Kepler-688 b,Kepler-688,b,2016,3.9,9.76,1867.0,"390,694",68.7,0.0737,1217.0,0,458.91,"242,781",Kepler,Transit
Kepler-689 b,Kepler-689,b,2016,22.37,2.89,1022.0,"115,687",8.7,0.3593,748.0,0,35.34,"71,889",Kepler,Transit
Kepler-69 b,Kepler-69,b,2013,13.72,2.24,1460.0,"89,668",5.6,0.1657,991.0,0,123.52,"55,720",Kepler,Transit
Kepler-69 c,Kepler-69,c,2013,242.46,1.71,596.0,"68,452",3.6,0.1657,511.0,0,2.69,"42,536",Kepler,Transit
Kepler-690 b,Kepler-690,b,2016,7.75,5.95,1793.0,"238,180",29.6,0.1401,1176.0,0,225.7,"148,007",Kepler,Transit
Kepler-691 b,Kepler-691,b,2016,8.11,2.09,886.0,"83,663",5.0,0.5481,672.0,0,12.99,"51,989",Kepler,Transit
Kepler-692 b,Kepler-692,b,2016,21.81,3.11,1208.0,"124,494",9.8,0.3267,851.0,0,28.5,"77,362",Kepler,Transit
Kepler-693 b,Kepler-693,b,2016,15.38,10.18,1138.0,"407,507",73.8,0.0697,812.0,0,31.64,"253,229",Kepler,Transit
Kepler-694 b,Kepler-694,b,2016,6.37,2.8,1703.0,"112,084",8.2,0.3757,1126.0,0,206.44,"69,650",Kepler,Transit
Kepler-695 b,Kepler-695,b,2016,3.04,9.21,1895.0,"368,678",62.3,0.0795,1233.0,0,499.06,"229,100",Kepler,Transit
Kepler-696 b,Kepler-696,b,2016,4.19,6.14,2279.0,"245,785",31.3,0.1348,1446.0,0,607.52,"152,733",Kepler,Transit
Kepler-697 b,Kepler-697,b,2016,3.71,4.13,2129.0,"165,325",16.0,0.2269,1363.0,0,472.24,"102,734",Kepler,Transit
Kepler-698 b,Kepler-698,b,2016,16.33,3.68,1366.0,"147,311",13.1,0.2613,939.0,0,172.56,"91,540",Kepler,Transit
Kepler-699 b,Kepler-699,b,2016,27.81,14.11,1055.0,"564,826",,,766.0,0,22.24,"350,988",Kepler,Transit
Kepler-7 b,Kepler-7,b,2009,4.89,18.180999999999997,2992.0,"727,789",140.2,0.0254,1842.0,0,1375.11,"452,255",Kepler,Transit
Kepler-700 b,Kepler-700,b,2016,80.87,5.99,871.0,"239,781",30.0,0.1392,664.0,0,12.07,"149,002",Kepler,Transit
Kepler-701 b,Kepler-701,b,2016,10.36,2.84,1456.0,"113,686",8.4,0.3684,989.0,0,75.62,"70,645",Kepler,Transit
Kepler-702 b,Kepler-702,b,2016,10.53,9.17,1341.0,"367,077",61.8,0.0799,925.0,0,88.91,"228,105",Kepler,Transit
Kepler-703 b,Kepler-703,b,2016,4.58,8.2,1926.0,"328,247",51.1,0.0924,1250.0,0,373.11,"203,976",Kepler,Transit
Kepler-704 b,Kepler-704,b,2016,3.76,2.61,2075.0,"104,479",7.3,0.4102,1333.0,0,514.12,"64,924",Kepler,Transit
Kepler-705 b,Kepler-705,b,2016,56.06,2.11,535.0,"84,464",5.1,1.0073,477.0,0,0.73,"52,487",Kepler,Transit
Kepler-706 b,Kepler-706,b,2016,41.41,13.17,873.0,"527,197",,,665.0,0,15.01,"327,605",Kepler,Transit
Kepler-707 b,Kepler-707,b,2016,2.24,1.33,2146.0,"53,240",2.3,0.9873,1372.0,0,336.67,"33,084",Kepler,Transit
Kepler-708 b,Kepler-708,b,2016,3.17,2.93,2255.0,"117,288",8.9,0.3539,1433.0,0,684.76,"72,884",Kepler,Transit
Kepler-709 b,Kepler-709,b,2016,16.09,2.92,1161.0,"116,888",8.8,0.3539,825.0,0,28.22,"72,635",Kepler,Transit
Kepler-710 b,Kepler-710,b,2016,4.35,1.88,2171.0,"75,257",4.2,0.6298,1386.0,0,710.87,"46,765",Kepler,Transit
Kepler-711 b,Kepler-711,b,2016,23.59,3.41,934.0,"136,503",11.5,0.2886,699.0,0,15.57,"84,824",Kepler,Transit
Kepler-712 b,Kepler-712,b,2016,21.02,3.41,995.0,"136,503",11.5,0.2886,733.0,0,15.8,"84,824",Kepler,Transit
Kepler-712 c,Kepler-712,c,2016,226.89,4.85,482.0,"194,146",21.0,0.1833,448.0,0,0.66,"120,644",Kepler,Transit
Kepler-713 b,Kepler-713,b,2016,7.41,2.48,1687.0,"99,275",6.7,0.4392,1117.0,0,228.28,"61,690",Kepler,Transit
Kepler-714 b,Kepler-714,b,2016,8.1,9.67,1832.0,"387,092",67.6,0.0746,1198.0,0,484.01,"240,543",Kepler,Transit
Kepler-715 b,Kepler-715,b,2016,10.01,3.75,1634.0,"150,113",13.5,0.2559,1088.0,0,181.41,"93,282",Kepler,Transit
Kepler-716 b,Kepler-716,b,2016,10.37,2.9,1354.0,"116,088",8.8,0.3575,932.0,0,42.49,"72,138",Kepler,Transit
Kepler-716 c,Kepler-716,c,2020,3.97,1.393,,"55,762",2.5,0.9292,,0,,"34,651",Kepler,Transit
Kepler-717 b,Kepler-717,b,2016,4.41,2.42,2108.0,"96,873",6.4,0.4537,1351.0,0,398.0,"60,198",Kepler,Transit
Kepler-718 b,Kepler-718,b,2016,2.05,16.56,2752.0,"662,900",41600.0,9.1289,1709.0,0,1324.2,"411,932",Kepler,Transit
Kepler-719 b,Kepler-719,b,2016,5.01,8.52,1854.0,"341,057",54.5,0.0878,1210.0,0,234.28,"211,936",Kepler,Transit
Kepler-720 b,Kepler-720,b,2016,4.71,8.41,2149.0,"336,654",53.4,0.0895,1374.0,0,384.56,"209,200",Kepler,Transit
Kepler-721 b,Kepler-721,b,2016,5.39,2.64,1588.0,"105,680",7.5,0.4047,1062.0,0,138.75,"65,670",Kepler,Transit
Kepler-722 b,Kepler-722,b,2016,4.09,2.63,2185.0,"105,279",7.4,0.4065,1394.0,0,414.6,"65,422",Kepler,Transit
Kepler-722 c,Kepler-722,c,2016,105.14,2.82,779.0,"112,885",8.4,0.3721,613.0,0,5.48,"70,148",Kepler,Transit
Kepler-723 b,Kepler-723,b,2016,4.08,12.19,1886.0,"487,968",,,1228.0,0,251.48,"303,228",Kepler,Transit
Kepler-724 b,Kepler-724,b,2016,3.31,3.29,2137.0,"131,699",10.8,0.3031,1367.0,0,339.4,"81,839",Kepler,Transit
Kepler-725 b,Kepler-725,b,2016,39.64,10.63,907.0,"425,521",79.4,0.0659,684.0,0,10.97,"264,423",Kepler,Transit
Kepler-726 b,Kepler-726,b,2016,21.8,3.26,1035.0,"130,498",10.7,0.3085,755.0,0,25.3,"81,093",Kepler,Transit
Kepler-727 b,Kepler-727,b,2016,5.15,2.53,1793.0,"101,276",6.9,0.4265,1176.0,0,176.69,"62,934",Kepler,Transit
Kepler-728 b,Kepler-728,b,2016,5.74,3.34,1825.0,"133,701",11.1,0.2976,1194.0,0,484.51,"83,083",Kepler,Transit
Kepler-729 b,Kepler-729,b,2016,3.17,3.58,2349.0,"143,308",12.5,0.2722,1485.0,0,1089.55,"89,053",Kepler,Transit
Kepler-730 b,Kepler-730,b,2016,6.49,12.33,2252.0,"493,572",,,1431.0,0,418.8,"306,710",Kepler,Transit
Kepler-730 c,Kepler-730,c,2018,2.85,1.569,2950.0,"62,807",3.1,0.7967,1819.0,0,903.77,"39,029",Kepler,Transit
Kepler-731 b,Kepler-731,b,2016,3.86,13.88,2239.0,"555,619",,,1424.0,0,456.7,"345,267",Kepler,Transit
Kepler-732 b,Kepler-732,b,2016,9.47,2.18,790.0,"87,266",5.4,0.5191,619.0,0,8.56,"54,228",Kepler,Transit
Kepler-732 c,Kepler-732,c,2016,0.89,1.27,1665.0,"50,838",2.2,1.0472,1105.0,0,199.85,"31,591",Kepler,Transit
Kepler-733 b,Kepler-733,b,2016,20.83,2.82,1129.0,"112,885",8.4,0.3721,807.0,0,24.51,"70,148",Kepler,Transit
Kepler-734 b,Kepler-734,b,2016,6.1,3.56,1469.0,"142,507",12.4,0.274,996.0,0,89.25,"88,555",Kepler,Transit
Kepler-735 b,Kepler-735,b,2016,11.52,2.95,1240.0,"118,089",9.0,0.3503,869.0,0,32.68,"73,382",Kepler,Transit
Kepler-736 b,Kepler-736,b,2016,3.6,2.93,1850.0,"117,288",8.9,0.3539,1208.0,0,233.03,"72,884",Kepler,Transit
Kepler-737 b,Kepler-737,b,2016,28.6,1.96,594.0,"78,459",4.5,0.5953,510.0,0,2.3,"48,755",Kepler,Transit
Kepler-738 b,Kepler-738,b,2016,24.59,2.5,1012.0,"100,075",6.8,0.4338,742.0,0,27.64,"62,188",Kepler,Transit
Kepler-739 b,Kepler-739,b,2016,12.53,3.32,1453.0,"132,900",11.0,0.2995,987.0,0,115.96,"82,585",Kepler,Transit
Kepler-74 b,Kepler-74,b,2013,7.34,10.76,1998.0,"430,725",200.2,0.1597,1290.0,0,337.68,"267,656",Kepler,Transit
Kepler-740 b,Kepler-740,b,2016,3.58,4.57,2093.0,"182,938",18.9,0.1978,1343.0,0,432.87,"113,679",Kepler,Transit
Kepler-741 b,Kepler-741,b,2016,7.04,2.97,1949.0,"118,890",9.1,0.3466,1263.0,0,461.99,"73,879",Kepler,Transit
Kepler-742 b,Kepler-742,b,2016,8.36,3.24,1300.0,"129,698",10.6,0.3103,902.0,0,38.1,"80,595",Kepler,Transit
Kepler-743 b,Kepler-743,b,2016,3.18,1.21,2039.0,"48,437",1.9,1.0817,1313.0,0,397.25,"30,099",Kepler,Transit
Kepler-744 b,Kepler-744,b,2016,12.06,1.62,1408.0,"64,849",3.3,0.7641,962.0,0,62.95,"40,298",Kepler,Transit
Kepler-745 b,Kepler-745,b,2016,9.93,2.16,1733.0,"86,465",5.3,0.5263,1143.0,0,286.03,"53,730",Kepler,Transit
Kepler-746 b,Kepler-746,b,2016,3.48,1.11,2138.0,"44,433",1.4,1.029,1368.0,0,421.61,"27,611",Kepler,Transit
Kepler-747 b,Kepler-747,b,2016,35.62,5.27,878.0,"210,959",24.1,0.1642,668.0,0,10.19,"131,092",Kepler,Transit
Kepler-748 b,Kepler-748,b,2016,7.41,2.52,1746.0,"100,876",6.9,0.4301,1150.0,0,439.78,"62,685",Kepler,Transit
Kepler-749 b,Kepler-749,b,2016,17.32,3.1,875.0,"124,094",9.8,0.3285,666.0,0,24.63,"77,113",Kepler,Transit
Kepler-75 b,Kepler-75,b,2013,8.88,11.77,1438.0,"471,155",3209.9,1.9964,979.0,0,106.48,"292,780",Kepler,Transit
Kepler-750 b,Kepler-750,b,2016,9.43,3.07,2151.0,"122,893",9.6,0.3321,1375.0,0,255.74,"76,367",Kepler,Transit
Kepler-750 c,Kepler-750,c,2016,4.09,1.62,2824.0,"64,849",3.3,0.7641,1749.0,0,778.59,"40,298",Kepler,Transit
Kepler-751 b,Kepler-751,b,2016,17.44,2.46,1280.0,"98,474",6.6,0.4428,891.0,0,39.01,"61,193",Kepler,Transit
Kepler-752 b,Kepler-752,b,2016,18.83,2.81,1195.0,"112,485",8.3,0.3739,844.0,0,45.28,"69,899",Kepler,Transit
Kepler-753 b,Kepler-753,b,2016,5.75,1.91,1211.0,"76,458",4.3,0.6171,853.0,0,41.67,"47,511",Kepler,Transit
Kepler-754 b,Kepler-754,b,2016,14.56,2.01,1422.0,"80,461",4.7,0.5771,970.0,0,216.47,"49,999",Kepler,Transit
Kepler-755 b,Kepler-755,b,2016,1.27,1.76,2453.0,"70,453",3.8,0.686,1543.0,0,889.89,"43,780",Kepler,Transit
Kepler-755 c,Kepler-755,c,2016,2.85,1.26,1886.0,"50,438",2.1,1.0617,1228.0,0,302.57,"31,343",Kepler,Transit
Kepler-756 b,Kepler-756,b,2016,1.22,1.12,3191.0,"44,834",1.5,1.0363,1953.0,0,2174.33,"27,860",Kepler,Transit
Kepler-757 b,Kepler-757,b,2016,1.02,1.36,3179.0,"54,441",2.4,0.9601,1946.0,0,3345.45,"33,830",Kepler,Transit
Kepler-758 b,Kepler-758,b,2016,12.11,2.48,1867.0,"99,275",6.7,0.4392,1217.0,0,349.19,"61,690",Kepler,Transit
Kepler-758 c,Kepler-758,c,2016,4.76,1.69,2527.0,"67,651",3.5,0.7223,1584.0,0,1211.82,"42,039",Kepler,Transit
Kepler-758 d,Kepler-758,d,2016,20.5,2.12,1575.0,"84,864",5.1,0.5372,1055.0,0,173.17,"52,735",Kepler,Transit
Kepler-758 e,Kepler-758,e,2016,8.19,1.53,2117.0,"61,246",3.0,0.824,1356.0,0,588.4,"38,059",Kepler,Transit
Kepler-759 b,Kepler-759,b,2016,41.81,2.27,1017.0,"90,868",5.8,0.4918,745.0,0,19.02,"56,467",Kepler,Transit
Kepler-76 b,Kepler-76,b,2013,1.54,15.244000000000002,3910.0,"610,220",638.8,0.1996,2352.0,0,3583.67,"379,196",Kepler,Orbital Brightness Modulation
Kepler-760 b,Kepler-760,b,2016,8.7,3.06,1404.0,"122,492",9.6,0.3339,960.0,0,84.41,"76,118",Kepler,Transit
Kepler-760 c,Kepler-760,c,2016,2.47,1.48,2108.0,"59,245",2.8,0.8584,1351.0,0,453.65,"36,815",Kepler,Transit
Kepler-761 b,Kepler-761,b,2016,10.13,2.03,1438.0,"81,261",4.8,0.5699,979.0,0,95.45,"50,497",Kepler,Transit
Kepler-762 b,Kepler-762,b,2016,3.77,12.68,2401.0,"507,583",,,1514.0,0,1065.73,"315,417",Kepler,Transit
Kepler-763 b,Kepler-763,b,2016,1.2,1.22,2603.0,"48,837",2.0,1.0871,1626.0,0,974.09,"30,348",Kepler,Transit
Kepler-764 b,Kepler-764,b,2016,7.34,1.64,1633.0,"65,649",3.3,0.7532,1087.0,0,160.46,"40,795",Kepler,Transit
Kepler-765 b,Kepler-765,b,2016,27.67,2.43,1211.0,"97,273",6.5,0.4501,853.0,0,48.95,"60,447",Kepler,Transit
Kepler-766 b,Kepler-766,b,2016,6.1,3.39,1840.0,"135,702",11.4,0.2922,1202.0,0,227.15,"84,327",Kepler,Transit
Kepler-767 b,Kepler-767,b,2016,161.53,6.64,716.0,"265,800",35.7,0.1216,578.0,0,9.37,"165,171",Kepler,Transit
Kepler-768 b,Kepler-768,b,2016,11.39,1.79,1170.0,"71,654",3.9,0.6715,830.0,0,40.59,"44,526",Kepler,Transit
Kepler-769 b,Kepler-769,b,2016,7.43,2.92,1924.0,"116,888",8.8,0.3539,1249.0,0,241.13,"72,635",Kepler,Transit
Kepler-769 c,Kepler-769,c,2016,15.99,1.79,1503.0,"71,654",3.9,0.6715,1015.0,0,86.76,"44,526",Kepler,Transit
Kepler-77 b,Kepler-77,b,2013,3.58,10.761,2650.0,"430,765",136.7,0.1094,1652.0,0,432.87,"267,681",Kepler,Transit
Kepler-770 b,Kepler-770,b,2016,18.93,2.3,2165.0,"92,069",5.9,0.4828,1383.0,0,27.74,"57,213",Kepler,Transit
Kepler-770 c,Kepler-770,c,2016,1.48,1.2,4990.0,"48,036",1.9,1.0799,2952.0,0,833.59,"29,850",Kepler,Transit
Kepler-770 d,Kepler-770,d,2016,4.15,1.4,3551.0,"56,042",2.5,0.9238,2153.0,0,209.75,"34,825",Kepler,Transit
Kepler-771 b,Kepler-771,b,2016,8.73,1.82,1660.0,"72,855",4.0,0.657,1102.0,0,339.3,"45,273",Kepler,Transit
Kepler-772 b,Kepler-772,b,2016,12.99,1.82,1616.0,"72,855",4.0,0.657,1078.0,0,264.58,"45,273",Kepler,Transit
Kepler-773 b,Kepler-773,b,2016,3.75,1.43,2146.0,"57,243",2.6,0.8966,1372.0,0,490.71,"35,571",Kepler,Transit
Kepler-774 b,Kepler-774,b,2016,11.09,3.17,2617.0,"126,896",10.2,0.3194,1634.0,0,451.18,"78,854",Kepler,Transit
Kepler-775 b,Kepler-775,b,2016,0.97,1.19,2959.0,"47,636",1.8,1.0708,1824.0,0,1496.75,"29,601",Kepler,Transit
Kepler-776 b,Kepler-776,b,2016,4.9,1.28,1685.0,"51,239",2.2,1.0363,1116.0,0,135.08,"31,840",Kepler,Transit
Kepler-777 b,Kepler-777,b,2016,5.73,1.47,1082.0,"58,844",2.8,0.8657,781.0,0,33.95,"36,566",Kepler,Transit
Kepler-778 b,Kepler-778,b,2016,3.76,1.68,1816.0,"67,251",3.5,0.7278,1189.0,0,216.57,"41,790",Kepler,Transit
