exoPlanetName,PlanetMassEst,PlanetRadiusEst,PlanetTempType,PlanetDetection,DiscoverYr,StarConst,PotHabitableOptimistic,PotHabitableConservative,LastUpdate,StarRtAsc,StarDistance
Kepler-442 b,2.3754251,1.3452,Warm,Transit,2015,Lyre,1,1,1/6/2015,285.36659,342
Kepler-443 b,6.1428456,2.3541,Warm,Transit,2015,Swan,1,1,1/6/2015,288.61054,779
Kepler-452 b,3.2754986,1.62545,Warm,Transit,2015,Swan,1,1,7/23/2015,296.00369,560.62
Kepler-453 b,15.999462,6.19913,Warm,Transit,2015,Lyre,1,1,3/15/2018,283.2413,448.58
Kepler-454 c,1417.5129,12.890117,Warm,Radial Velocity,2015,Lyre,1,1,12/3/2015,287.47853,232.41
Kepler-553 c,86.768715,11.19879,Warm,Transit,2016,Swan,1,1,5/10/2016,298.55083,725
Kepler-61 b,5.2758784,2.15232,Warm,Transit,2013,Swan,1,0,5/14/2014,295.30451,338.24
Kepler-62 e,3.2372384,1.61424,Warm,Transit,2013,Lyre,1,0,5/14/2014,283.21275,368
Kepler-62 f,2.5805743,1.41246,Warm,Transit,2013,Lyre,1,1,5/14/2014,283.21275,368
Kepler-68 d,244.72756,13.925859,Warm,Radial Velocity,2013,Swan,1,1,6/13/2019,291.03231,144.77
Kepler-705 b,5.0906262,2.10748,Warm,Transit,2016,Lyre,1,1,5/10/2016,289.5085,251
Kepler-712 c,20.986141,4.85393,Warm,Transit,2016,Swan,1,1,5/10/2016,294.90973,944
Kepler-90 h,88.100044,11.29968,Warm,Transit,2013,Dragon,1,0,5/14/2014,284.43349,780
Kepler-967 c,12.961199,3.65446,Warm,Transit,2016,Lyre,1,1,5/10/2016,286.55807,499
Kepler-97 c,343.25424,13.72009,Warm,Radial Velocity,2014,Swan,1,1,5/14/2014,287.32662,405.58
Kepler-991 b,7.010777,2.54467,Warm,Transit,2016,Swan,1,0,5/10/2016,297.09066,370
KIC 10525077 b,25.978928,5.50411,Warm,Transit,2015,Swan,1,1,1/5/2016,287.37808,1525.31
KIC 5437945 b,33.567528,6.40091,Warm,Transit,2015,Lyre,1,0,1/5/2016,288.47486,1322.48
KIC 5951458 b,35.383781,6.60269,Warm,Transit,2015,Lyre,1,1,1/5/2016,288.99158,758.78
KIC 9663113 b,19.128815,4.5961,Warm,Transit,2015,Swan,1,1,1/5/2016,297.04542,1670.88
LHS 1140 b,6.9795029,1.72634,Warm,Transit,2017,Whale,1,1,12/6/2018,11.24724,14.99
PH2 b,73.09166,10.12263,Warm,Transit,2013,Swan,1,0,5/14/2014,289.76359,347.27
Proxima Cen b,1.271312,1.0778216,Warm,Radial Velocity,2016,Centaur,1,1,8/25/2016,217.42896,1.3
tau Cet e,3.9315324,1.8099732,Warm,Radial Velocity,2017,Whale,1,0,8/17/2017,26.017012,3.6
Teegarden's Star b,1.0488324,1.0214981,Warm,Radial Velocity,2019,Ram,1,0,6/27/2019,43.253708,3.83
Teegarden's Star c,1.1092197,1.0375773,Warm,Radial Velocity,2019,Ram,1,1,6/27/2019,43.253708,3.83
TRAPPIST-1 d,0.40999812,0.77349,Warm,Transit,2016,Water Carrier,1,0,2/22/2017,346.62201,12.43
TRAPPIST-1 e,0.61976461,0.91922,Warm,Transit,2017,Water Carrier,1,1,2/22/2017,346.62201,12.43
TRAPPIST-1 f,0.68015193,1.04253,Warm,Transit,2017,Water Carrier,1,1,2/22/2017,346.62201,12.43
TRAPPIST-1 g,1.3412342,1.13221,Warm,Transit,2017,Water Carrier,1,1,2/22/2017,346.62201,12.43
WASP-41 c,1010.693,13.083405,Warm,Radial Velocity,2015,Centaur,1,1,10/15/2015,190.61874,164.14
WASP-47 c,398.19717,13.63075,Warm,Radial Velocity,2015,Water Carrier,1,1,6/21/2018,331.20305,266.69
Wolf 1061 c,3.4102945,1.6645224,Warm,Radial Velocity,2015,Serpent Holder,1,0,3/30/2017,247.57524,4.31
