name,host_star,ltr,disc_year,orb_period_ed,radius_e,circumference_k,circumference_m,mass_e,density_e,temp_c,temp_f,habit_code,solar_flux,disc_facility,disc_method
Kepler-758 e,Kepler-758,e,2016,8.19,1.53,61246,38059,3,0.824,871,1600,0,588.4,Kepler,Transit
Kepler-759 b,Kepler-759,b,2016,41.81,2.27,90868,56467,5.8,0.4918,260,500,0,19.02,Kepler,Transit
Kepler-76 b,Kepler-76,b,2013,1.54,15.244,610220,379196,638.8,0.1996,1867,3393,0,3583.67,Kepler,Orbital Brightness Modulation
Kepler-760 b,Kepler-760,b,2016,8.7,3.06,122492,76118,9.6,0.3339,475,887,0,84.41,Kepler,Transit
Kepler-760 c,Kepler-760,c,2016,2.47,1.48,59245,36815,2.8,0.8584,866,1591,0,453.65,Kepler,Transit
Kepler-761 b,Kepler-761,b,2016,10.13,2.03,81261,50497,4.8,0.5699,494,921,0,95.45,Kepler,Transit
Kepler-762 b,Kepler-762,b,2016,3.77,12.68,507583,315417,,,1029,1884,0,1065.73,Kepler,Transit
Kepler-763 b,Kepler-763,b,2016,1.2,1.22,48837,30348,2,1.0871,1141,2086,0,974.09,Kepler,Transit
Kepler-764 b,Kepler-764,b,2016,7.34,1.64,65649,40795,3.3,0.7532,602,1116,0,160.46,Kepler,Transit
Kepler-765 b,Kepler-765,b,2016,27.67,2.43,97273,60447,6.5,0.4501,368,694,0,48.95,Kepler,Transit
Kepler-766 b,Kepler-766,b,2016,6.1,3.39,135702,84327,11.4,0.2922,717,1323,0,227.15,Kepler,Transit
Kepler-767 b,Kepler-767,b,2016,161.53,6.64,265800,165171,35.7,0.1216,93,199,0,9.37,Kepler,Transit
Kepler-768 b,Kepler-768,b,2016,11.39,1.79,71654,44526,3.9,0.6715,345,653,0,40.59,Kepler,Transit
Kepler-769 b,Kepler-769,b,2016,7.43,2.92,116888,72635,8.8,0.3539,764,1407,0,241.13,Kepler,Transit
Kepler-769 c,Kepler-769,c,2016,15.99,1.79,71654,44526,3.9,0.6715,530,986,0,86.76,Kepler,Transit
Kepler-77 b,Kepler-77,b,2013,3.58,10.761,430765,267681,136.7,0.1094,1167,2133,0,432.87,Kepler,Transit
Kepler-770 b,Kepler-770,b,2016,18.93,2.3,92069,57213,5.9,0.4828,898,1648,0,27.74,Kepler,Transit
Kepler-770 c,Kepler-770,c,2016,1.48,1.2,48036,29850,1.9,1.0799,2467,4473,0,833.59,Kepler,Transit
Kepler-770 d,Kepler-770,d,2016,4.15,1.4,56042,34825,2.5,0.9238,1668,3034,0,209.75,Kepler,Transit
Kepler-771 b,Kepler-771,b,2016,8.73,1.82,72855,45273,4,0.657,617,1143,0,339.3,Kepler,Transit
Kepler-772 b,Kepler-772,b,2016,12.99,1.82,72855,45273,4,0.657,593,1099,0,264.58,Kepler,Transit
Kepler-773 b,Kepler-773,b,2016,3.75,1.43,57243,35571,2.6,0.8966,887,1629,0,490.71,Kepler,Transit
Kepler-774 b,Kepler-774,b,2016,11.09,3.17,126896,78854,10.2,0.3194,1149,2100,0,451.18,Kepler,Transit
Kepler-775 b,Kepler-775,b,2016,0.97,1.19,47636,29601,1.8,1.0708,1339,2442,0,1496.75,Kepler,Transit
Kepler-776 b,Kepler-776,b,2016,4.9,1.28,51239,31840,2.2,1.0363,631,1168,0,135.08,Kepler,Transit
Kepler-777 b,Kepler-777,b,2016,5.73,1.47,58844,36566,2.8,0.8657,296,565,0,33.95,Kepler,Transit
Kepler-778 b,Kepler-778,b,2016,3.76,1.68,67251,41790,3.5,0.7278,704,1299,0,216.57,Kepler,Transit
Kepler-779 b,Kepler-779,b,2016,7.1,0.92,36828,22885,0.7,0.9238,152,306,0,15.03,Kepler,Transit
Kepler-78 b,Kepler-78,b,2013,0.36,1.121,44874,27885,3.2,0.9546,1977,3591,0,,Kepler,Transit
Kepler-780 b,Kepler-780,b,2016,0.68,0.89,35627,22139,0.6,0.9056,1826,3319,0,4572.56,Kepler,Transit
Kepler-781 b,Kepler-781,b,2016,13.21,2.89,115687,71889,8.7,0.3593,356,673,0,44.4,Kepler,Transit
Kepler-782 b,Kepler-782,b,2016,158.69,3.21,128497,79849,10.4,0.314,77,171,0,3.99,Kepler,Transit
Kepler-783 b,Kepler-783,b,2016,4.29,0.78,31224,19403,0.4,0.8385,718,1324,0,229.1,Kepler,Transit
Kepler-783 c,Kepler-783,c,2020,7.05,2.332,93350,58009,6,0.4755,,,0,,Kepler,Transit
Kepler-784 b,Kepler-784,b,2016,31.59,1.58,63248,39303,3.1,0.7895,415,779,0,194.38,Kepler,Transit
Kepler-785 b,Kepler-785,b,2016,1.97,13.02,521193,323874,,,480,896,0,163.86,Kepler,Transit
Kepler-786 b,Kepler-786,b,2016,53.53,2.43,97273,60447,6.5,0.4501,75,167,0,3.66,Kepler,Transit
Kepler-787 b,Kepler-787,b,2016,0.93,1.28,51239,31840,2.2,1.0363,842,1548,0,493.55,Kepler,Transit
Kepler-788 b,Kepler-788,b,2016,8.4,2.55,102077,63432,7,0.4229,711,1312,0,357.19,Kepler,Transit
Kepler-789 b,Kepler-789,b,2016,8.64,2.12,84864,52735,5.1,0.5372,1146,2095,0,312.34,Kepler,Transit
Kepler-79 b,Kepler-79,b,2012,13.48,3.47,138905,86317,10.9,0.2595,656,1213,0,205.4,Kepler,Transit
Kepler-79 c,Kepler-79,c,2012,27.4,3.72,148912,92535,5.9,0.1125,461,862,0,79.77,Kepler,Transit
Kepler-79 d,Kepler-79,d,2014,52.09,7.16,286616,178106,6,0.0163,319,606,0,33.87,Kepler,Transit
Kepler-79 e,Kepler-79,e,2014,81.07,3.49,139705,86814,4.1,0.0962,238,460,0,18.78,Kepler,Transit
Kepler-790 b,Kepler-790,b,2016,13.73,2.18,87266,54228,5.4,0.5191,361,682,0,38.27,Kepler,Transit
Kepler-791 b,Kepler-791,b,2016,14.55,3.05,122092,75869,9.5,0.3358,666,1231,0,140.06,Kepler,Transit
Kepler-792 b,Kepler-792,b,2016,11.3,1.96,78459,48755,4.5,0.5953,579,1074,0,176.03,Kepler,Transit
Kepler-793 b,Kepler-793,b,2016,4.24,1.37,54841,34079,2.4,0.951,904,1659,0,617.41,Kepler,Transit
Kepler-794 b,Kepler-794,b,2016,11.13,2.11,84464,52487,5.1,0.5408,679,1254,0,299.97,Kepler,Transit
Kepler-795 b,Kepler-795,b,2016,29.62,1.68,67251,41790,3.5,0.7278,307,585,0,26.79,Kepler,Transit
Kepler-796 b,Kepler-796,b,2016,6.4,1.3,52039,32338,2.2,1.0163,836,1537,0,962.26,Kepler,Transit
Kepler-797 b,Kepler-797,b,2016,27.07,2.17,86865,53979,5.4,0.5227,332,630,0,90.1,Kepler,Transit
Kepler-798 b,Kepler-798,b,2016,13.72,2.39,95672,59452,6.3,0.461,591,1096,0,141.89,Kepler,Transit
Kepler-799 b,Kepler-799,b,2016,133.46,6.88,275408,171141,37.9,0.1162,160,320,0,6.36,Kepler,Transit
Kepler-8 b,Kepler-8,b,2010,3.52,15.872,635359,394818,187.5,0.049,1407,2565,0,1444.88,Kepler,Transit
Kepler-80 b,Kepler-80,b,2012,7.05,2.67,106881,66417,6.9,0.2505,274,525,0,54.38,Kepler,Transit
Kepler-80 c,Kepler-80,c,2012,9.52,2.74,109683,68158,6.7,0.2214,222,432,0,36.48,Kepler,Transit
Kepler-80 d,Kepler-80,d,2014,3.07,1.53,61246,38059,6.8,1.2777,449,840,0,164.62,Kepler,Transit
Kepler-80 e,Kepler-80,e,2014,4.64,1.6,64048,39800,4.1,0.6806,356,673,0,94.78,Kepler,Transit
Kepler-80 f,Kepler-80,f,2016,0.99,1.21,48437,30099,1.9,1.0817,781,1438,0,750.96,Kepler,Transit
Kepler-80 g,Kepler-80,g,2017,14.65,1.13,45234,28109,1.5,1.0436,145,293,0,,Kepler,Transit
Kepler-800 b,Kepler-800,b,2016,14.13,2.85,114086,70894,8.5,0.3666,402,756,0,44.87,Kepler,Transit
Kepler-801 b,Kepler-801,b,2016,11.42,2,80060,49750,4.7,0.5808,146,295,0,14.44,Kepler,Transit
Kepler-802 b,Kepler-802,b,2016,40.06,3.54,141707,88058,12.3,0.2759,216,421,0,13.51,Kepler,Transit
Kepler-803 b,Kepler-803,b,2016,50.29,3.79,151714,94277,13.8,0.2523,270,518,0,20.88,Kepler,Transit
Kepler-804 b,Kepler-804,b,2016,14.37,1.94,77659,48258,4.4,0.6044,506,943,0,83.43,Kepler,Transit
