star,type,temp_k,radius_s,mass_s,bright,gravity,age,density,gal_lat,gal_long,distance,num_stars,num_planets,num_moons
KELT-3,,6304,1.7,1.96,0.625,4.2,3,0.56,51.38028,181.2553,210.252,2,1,0
KELT-4 A,F,6206,1.6,1.2,0.535,4.11,4.44,0.411,57.99252,207.458,218.05,3,1,0
KELT-6,F8,6102,1.73,1.42,0.514,4.07,6.1,0.39,85.55,85.77459,240.726,1,2,0
KELT-7,F,6768,1.81,1.76,0.758,4.5,1.3,0.42,-3.365056,172.5126,136.681,1,1,0
KELT-8,G2 V,5754,1.46,0.81,0.265,4.08,5.4,0.37,10.37371,54.8411,197.572,1,1,0
KELT-9,B9.5-A0,10170,2.36,2.52,1.724,4.09,0.3,0.2702,0.2485195,78.91281,204.455,2,1,0
KIC 10001893,,27500,,,,5.35,,,16.5858,77.73042,1672.94,1,3,0
KIC 10525077,,6091,1.01,1.01,0.103,4.42,,,16.88887,78.48853,1461.15,1,1,0
KIC 3558849,,6175,1.01,0.98,0.126,4.44,,,7.980559,72.43388,1215.7,1,1,0
KIC 5095269,F7 V,,,1.21,,,,,11.7468,72.33367,1188.54,2,1,0
